zip_code_id,primary_city,county,state,state_short,country,latitude,longitude
501,Holtsville,Suffolk County,New York,NY,US,"40,81","-73,04"
544,Holtsville,Suffolk County,New York,NY,US,"40,81","-73,04"
601,Adjuntas,Adjuntas Municipio,Puerto Rico,PR,US,"18,16","-66,72"
602,Aguada,Aguada Municipio,Puerto Rico,PR,US,"18,38","-67,18"
603,Aguadilla,Aguadilla Municipio,Puerto Rico,PR,US,"18,43","-67,15"
604,Aguadilla,,Puerto Rico,PR,US,"18,43","-67,15"
605,Aguadilla,,Puerto Rico,PR,US,"18,43","-67,15"
606,Maricao,Maricao Municipio,Puerto Rico,PR,US,"18,18","-66,98"
610,Anasco,Anasco Municipio,Puerto Rico,PR,US,"18,28","-67,14"
611,Angeles,,Puerto Rico,PR,US,"18,28","-66,79"
612,Arecibo,Arecibo Municipio,Puerto Rico,PR,US,"18,45","-66,73"
613,Arecibo,,Puerto Rico,PR,US,"18,45","-66,73"
614,Arecibo,,Puerto Rico,PR,US,"18,45","-66,73"
616,Bajadero,Arecibo Municipio,Puerto Rico,PR,US,"18,42","-66,67"
617,Barceloneta,Barceloneta Municipio,Puerto Rico,PR,US,"18,45","-66,56"
622,Boqueron,Cabo Rojo Municipio,Puerto Rico,PR,US,"17,99","-67,15"
623,Cabo Rojo,Cabo Rojo Municipio,Puerto Rico,PR,US,"18,08","-67,14"
624,Penuelas,Penuelas Municipio,Puerto Rico,PR,US,"18,06","-66,72"
627,Camuy,Camuy Municipio,Puerto Rico,PR,US,"18,48","-66,84"
631,Castaner,Lares Municipio,Puerto Rico,PR,US,"18,19","-66,82"
636,Rosario,,Puerto Rico,PR,US,"18,15","-67,06"
637,Sabana Grande,Sabana Grande Municipio,Puerto Rico,PR,US,"18,08","-66,96"
638,Ciales,Ciales Municipio,Puerto Rico,PR,US,"18,33","-66,47"
641,Utuado,Utuado Municipio,Puerto Rico,PR,US,"18,27","-66,7"
646,Dorado,Dorado Municipio,Puerto Rico,PR,US,"18,47","-66,27"
647,Ensenada,Guanica Municipio,Puerto Rico,PR,US,"17,96","-66,94"
650,Florida,Florida Municipio,Puerto Rico,PR,US,"18,36","-66,56"
652,Garrochales,Arecibo Municipio,Puerto Rico,PR,US,"18,45","-66,6"
653,Guanica,Guanica Municipio,Puerto Rico,PR,US,"17,99","-66,89"
656,Guayanilla,Guayanilla Municipio,Puerto Rico,PR,US,"18,02","-66,79"
659,Hatillo,Hatillo Municipio,Puerto Rico,PR,US,"18,48","-66,82"
660,Hormigueros,Hormigueros Municipio,Puerto Rico,PR,US,"18,14","-67,12"
662,Isabela,Isabela Municipio,Puerto Rico,PR,US,"18,5","-67,02"
664,Jayuya,Jayuya Municipio,Puerto Rico,PR,US,"18,22","-66,59"
667,Lajas,Lajas Municipio,Puerto Rico,PR,US,"18,04","-67,06"
669,Lares,Lares Municipio,Puerto Rico,PR,US,"18,29","-66,88"
670,Las Marias,Las Marias Municipio,Puerto Rico,PR,US,"18,27","-67,06"
674,Manati,Manati Municipio,Puerto Rico,PR,US,"18,43","-66,48"
676,Moca,Moca Municipio,Puerto Rico,PR,US,"18,39","-67,11"
677,Rincon,Rincon Municipio,Puerto Rico,PR,US,"18,34","-67,25"
678,Quebradillas,Quebradillas Municipio,Puerto Rico,PR,US,"18,47","-66,93"
680,Mayaguez,Mayaguez Municipio,Puerto Rico,PR,US,"18,2","-67,14"
681,Mayaguez,,Puerto Rico,PR,US,"18,2","-67,14"
682,Mayaguez,Mayaguez Municipio,Puerto Rico,PR,US,"18,22","-67,16"
683,San German,San German Municipio,Puerto Rico,PR,US,"18,08","-67,04"
685,San Sebastian,San Sebastian Municipio,Puerto Rico,PR,US,"18,33","-66,99"
687,Morovis,Morovis Municipio,Puerto Rico,PR,US,"18,32","-66,4"
688,Sabana Hoyos,Arecibo Municipio,Puerto Rico,PR,US,"18,38","-66,62"
690,San Antonio,Aguadilla Municipio,Puerto Rico,PR,US,"18,49","-67,09"
692,Vega Alta,Vega Alta Municipio,Puerto Rico,PR,US,"18,41","-66,32"
693,Vega Baja,Vega Baja Municipio,Puerto Rico,PR,US,"18,44","-66,39"
694,Vega Baja,Vega Baja Municipio,Puerto Rico,PR,US,"18,48","-66,39"
698,Yauco,Yauco Municipio,Puerto Rico,PR,US,"18,03","-66,86"
703,Aguas Buenas,Aguas Buenas Municipio,Puerto Rico,PR,US,"18,25","-66,1"
704,Aguirre,Salinas Municipio,Puerto Rico,PR,US,"17,96","-66,22"
705,Aibonito,Aibonito Municipio,Puerto Rico,PR,US,"18,14","-66,26"
707,Maunabo,Maunabo Municipio,Puerto Rico,PR,US,18,"-65,9"
714,Arroyo,Arroyo Municipio,Puerto Rico,PR,US,"17,97","-66,06"
715,Mercedita,Ponce Municipio,Puerto Rico,PR,US,"18,01","-66,56"
716,Ponce,Ponce Municipio,Puerto Rico,PR,US,"17,98","-66,6"
717,Ponce,Ponce Municipio,Puerto Rico,PR,US,18,"-66,61"
718,Naguabo,Naguabo Municipio,Puerto Rico,PR,US,"18,21","-65,73"
719,Naranjito,Naranjito Municipio,Puerto Rico,PR,US,"18,3","-66,24"
720,Orocovis,Orocovis Municipio,Puerto Rico,PR,US,"18,22","-66,39"
721,Palmer,,Puerto Rico,PR,US,"18,37","-65,77"
723,Patillas,Patillas Municipio,Puerto Rico,PR,US,18,"-66,01"
725,Caguas,Caguas Municipio,Puerto Rico,PR,US,"18,23","-66,03"
726,Caguas,,Puerto Rico,PR,US,"18,23","-66,03"
727,Caguas,Caguas Municipio,Puerto Rico,PR,US,"18,22","-66,07"
728,Ponce,Ponce Municipio,Puerto Rico,PR,US,"17,99","-66,66"
729,Canovanas,Canovanas Municipio,Puerto Rico,PR,US,"18,37","-65,9"
730,Ponce,Ponce Municipio,Puerto Rico,PR,US,"18,03","-66,62"
731,Ponce,Ponce Municipio,Puerto Rico,PR,US,"18,11","-66,63"
732,Ponce,,Puerto Rico,PR,US,"17,98","-66,6"
733,Ponce,,Puerto Rico,PR,US,"17,98","-66,6"
734,Ponce,,Puerto Rico,PR,US,"17,98","-66,6"
735,Ceiba,Ceiba Municipio,Puerto Rico,PR,US,"18,25","-65,68"
736,Cayey,Cayey Municipio,Puerto Rico,PR,US,"18,11","-66,16"
737,Cayey,,Puerto Rico,PR,US,"18,11","-66,16"
738,Fajardo,Fajardo Municipio,Puerto Rico,PR,US,"18,33","-65,65"
739,Cidra,Cidra Municipio,Puerto Rico,PR,US,"18,17","-66,15"
740,Puerto Real,Fajardo Municipio,Puerto Rico,PR,US,"18,33","-65,63"
741,Punta Santiago,Humacao Municipio,Puerto Rico,PR,US,"18,16","-65,75"
742,Roosevelt Roads,,Puerto Rico,PR,US,"18,27","-65,65"
744,Rio Blanco,,Puerto Rico,PR,US,"18,22","-65,79"
745,Rio Grande,Rio Grande Municipio,Puerto Rico,PR,US,"18,38","-65,83"
751,Salinas,Salinas Municipio,Puerto Rico,PR,US,"17,97","-66,29"
754,San Lorenzo,San Lorenzo Municipio,Puerto Rico,PR,US,"18,19","-65,96"
757,Santa Isabel,Santa Isabel Municipio,Puerto Rico,PR,US,"17,97","-66,4"
765,Vieques,Vieques Municipio,Puerto Rico,PR,US,"18,13","-65,44"
766,Villalba,Villalba Municipio,Puerto Rico,PR,US,"18,13","-66,48"
767,Yabucoa,Yabucoa Municipio,Puerto Rico,PR,US,"18,04","-65,87"
769,Coamo,Coamo Municipio,Puerto Rico,PR,US,"18,08","-66,36"
771,Las Piedras,Las Piedras Municipio,Puerto Rico,PR,US,"18,18","-65,86"
772,Loiza,Loiza Municipio,Puerto Rico,PR,US,"18,43","-65,88"
773,Luquillo,Luquillo Municipio,Puerto Rico,PR,US,"18,37","-65,71"
775,Culebra,Culebra Municipio,Puerto Rico,PR,US,"18,33","-65,3"
777,Juncos,Juncos Municipio,Puerto Rico,PR,US,"18,22","-65,91"
778,Gurabo,Gurabo Municipio,Puerto Rico,PR,US,"18,25","-65,97"
780,Coto Laurel,Ponce Municipio,Puerto Rico,PR,US,"18,09","-66,57"
782,Comerio,Comerio Municipio,Puerto Rico,PR,US,"18,22","-66,22"
783,Corozal,Corozal Municipio,Puerto Rico,PR,US,"18,34","-66,31"
784,Guayama,Guayama Municipio,Puerto Rico,PR,US,"17,97","-66,11"
785,Guayama,,Puerto Rico,PR,US,"17,97","-66,11"
786,La Plata,Aibonito Municipio,Puerto Rico,PR,US,"18,16","-66,23"
791,Humacao,Humacao Municipio,Puerto Rico,PR,US,"18,15","-65,81"
792,Humacao,,Puerto Rico,PR,US,"18,15","-65,81"
794,Barranquitas,Barranquitas Municipio,Puerto Rico,PR,US,"18,18","-66,3"
795,Juana Diaz,Juana Diaz Municipio,Puerto Rico,PR,US,"18,05","-66,5"
801,St Thomas,,U.S. Virgin Islands,VI,US,"18,35","-64,93"
802,St Thomas,,U.S. Virgin Islands,VI,US,"18,35","-64,93"
803,St Thomas,,U.S. Virgin Islands,VI,US,"18,35","-64,93"
804,St Thomas,,U.S. Virgin Islands,VI,US,"18,35","-64,93"
805,St Thomas,,U.S. Virgin Islands,VI,US,"18,34","-64,93"
820,Christiansted,,U.S. Virgin Islands,VI,US,"17,74","-64,7"
821,Christiansted,,U.S. Virgin Islands,VI,US,"17,74","-64,7"
822,Christiansted,,U.S. Virgin Islands,VI,US,"17,74","-64,7"
823,Christiansted,,U.S. Virgin Islands,VI,US,"17,74","-64,7"
824,Christiansted,,U.S. Virgin Islands,VI,US,"17,74","-64,7"
830,St John,,U.S. Virgin Islands,VI,US,"18,33","-64,79"
831,St John,,U.S. Virgin Islands,VI,US,"18,33","-64,79"
840,Frederiksted,,U.S. Virgin Islands,VI,US,"17,71","-64,88"
841,Frederiksted,,U.S. Virgin Islands,VI,US,"17,71","-64,88"
850,Kingshill,,U.S. Virgin Islands,VI,US,"17,76","-64,82"
851,Kingshill,,U.S. Virgin Islands,VI,US,"17,73","-64,8"
901,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,47","-66,1"
902,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
906,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,46","-66,09"
907,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,45","-66,08"
908,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
909,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,44","-66,07"
910,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
911,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,45","-66,06"
912,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,45","-66,06"
913,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,45","-66,04"
914,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
915,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,44","-66,05"
916,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
917,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,42","-66,05"
918,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,42","-66,07"
919,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
920,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,41","-66,09"
921,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,39","-66,09"
922,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
923,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,41","-66,04"
924,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,4","-66,01"
925,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,4","-66,05"
926,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,35","-66,05"
927,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,4","-66,06"
928,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
929,San Juan,San Juan,Puerto Rico,PR,US,"18,4","-66,06"
930,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
931,San Juan,San Juan,Puerto Rico,PR,US,"18,4","-66,06"
933,San Juan,San Juan,Puerto Rico,PR,US,"18,4","-66,06"
934,Fort Buchanan,Guaynabo Municipio,Puerto Rico,PR,US,"18,41","-66,12"
935,San Juan,San Juan,Puerto Rico,PR,US,"18,4","-66,06"
936,San Juan,San Juan Municipio,Puerto Rico,PR,US,"18,4","-66,07"
937,San Juan,San Juan,Puerto Rico,PR,US,"18,4","-66,06"
939,San Juan,San Juan,Puerto Rico,PR,US,"18,4","-66,06"
940,San Juan,,Puerto Rico,PR,US,"18,4","-66,06"
949,Toa Baja,Toa Baja Municipio,Puerto Rico,PR,US,"18,44","-66,25"
950,Toa Baja,Dorado Municipio,Puerto Rico,PR,US,"18,46","-66,23"
951,Toa Baja,Toa Baja Municipio,Puerto Rico,PR,US,"18,43","-66,25"
952,Sabana Seca,Toa Baja Municipio,Puerto Rico,PR,US,"18,42","-66,19"
953,Toa Alta,Toa Alta Municipio,Puerto Rico,PR,US,"18,39","-66,25"
954,Toa Alta,Toa Alta,Puerto Rico,PR,US,"18,39","-66,25"
955,San Juan,San Juan,Puerto Rico,PR,US,"18,4","-66,06"
956,Bayamon,Bayamon Municipio,Puerto Rico,PR,US,"18,32","-66,17"
957,Bayamon,Bayamon Municipio,Puerto Rico,PR,US,"18,37","-66,19"
958,Bayamon,Bayamon,Puerto Rico,PR,US,"18,28","-66,13"
959,Bayamon,Bayamon Municipio,Puerto Rico,PR,US,"18,39","-66,15"
960,Bayamon,Bayamon Municipio,Puerto Rico,PR,US,"18,42","-66,15"
961,Bayamon,Bayamon Municipio,Puerto Rico,PR,US,"18,41","-66,17"
962,Catano,Catano Municipio,Puerto Rico,PR,US,"18,44","-66,15"
963,Catano,Catano,Puerto Rico,PR,US,"18,43","-66,11"
965,Guaynabo,Guaynabo Municipio,Puerto Rico,PR,US,"18,43","-66,11"
966,Guaynabo,Guaynabo Municipio,Puerto Rico,PR,US,"18,4","-66,12"
968,Guaynabo,Guaynabo Municipio,Puerto Rico,PR,US,"18,41","-66,1"
969,Guaynabo,Guaynabo Municipio,Puerto Rico,PR,US,"18,38","-66,11"
970,Guaynabo,,Puerto Rico,PR,US,"18,38","-66,11"
971,Guaynabo,Guaynabo Municipio,Puerto Rico,PR,US,"18,32","-66,12"
975,San Juan,San Juan,Puerto Rico,PR,US,"18,4","-66,06"
976,Trujillo Alto,Trujillo Alto Municipio,Puerto Rico,PR,US,"18,36","-66,01"
977,Trujillo Alto,,Puerto Rico,PR,US,"18,36","-66,01"
978,Saint Just,San Juan,Puerto Rico,PR,US,"18,37","-66,01"
979,Carolina,Carolina Municipio,Puerto Rico,PR,US,"18,44","-66,03"
981,Carolina,Carolina,Puerto Rico,PR,US,"18,4","-65,98"
982,Carolina,Carolina Municipio,Puerto Rico,PR,US,"18,41","-65,99"
983,Carolina,Carolina Municipio,Puerto Rico,PR,US,"18,4","-65,98"
984,Carolina,Carolina,Puerto Rico,PR,US,"18,4","-65,98"
985,Carolina,Carolina Municipio,Puerto Rico,PR,US,"18,41","-65,95"
986,Carolina,Carolina,Puerto Rico,PR,US,"18,4","-65,98"
987,Carolina,Carolina Municipio,Puerto Rico,PR,US,"18,34","-65,94"
988,Carolina,Carolina,Puerto Rico,PR,US,"18,4","-65,98"
1001,Agawam,Hampden County,Massachusetts,MA,US,"42,06","-72,61"
1002,Amherst,Hampshire County,Massachusetts,MA,US,"42,37","-72,52"
1003,Amherst,Hampshire County,Massachusetts,MA,US,"42,39","-72,52"
1004,Amherst,Hampshire County,Massachusetts,MA,US,"42,37","-72,52"
1005,Barre,Worcester County,Massachusetts,MA,US,"42,42","-72,1"
1007,Belchertown,Hampshire County,Massachusetts,MA,US,"42,27","-72,4"
1008,Blandford,Hampden County,Massachusetts,MA,US,"42,18","-72,93"
1009,Bondsville,Hampden County,Massachusetts,MA,US,"42,2","-72,34"
1010,Brimfield,Hampden County,Massachusetts,MA,US,"42,11","-72,2"
1011,Chester,Hampden County,Massachusetts,MA,US,"42,28","-72,98"
1012,Chesterfield,Hampshire County,Massachusetts,MA,US,"42,4","-72,85"
1013,Chicopee,Hampden County,Massachusetts,MA,US,"42,15","-72,6"
1014,Chicopee,Hampden County,Massachusetts,MA,US,"42,17","-72,57"
1020,Chicopee,Hampden County,Massachusetts,MA,US,"42,17","-72,57"
1021,Chicopee,Hampden County,Massachusetts,MA,US,"42,17","-72,57"
1022,Chicopee,Hampden County,Massachusetts,MA,US,"42,2","-72,54"
1026,Cummington,Hampshire County,Massachusetts,MA,US,"42,46","-72,9"
1027,Easthampton,Hampshire County,Massachusetts,MA,US,"42,26","-72,68"
1028,East Longmeadow,Hampden County,Massachusetts,MA,US,"42,06","-72,51"
1029,East Otis,Berkshire County,Massachusetts,MA,US,"42,17","-73,03"
1030,Feeding Hills,Hampden County,Massachusetts,MA,US,"42,06","-72,67"
1031,Gilbertville,Worcester County,Massachusetts,MA,US,"42,33","-72,2"
1032,Goshen,Hampshire County,Massachusetts,MA,US,"42,46","-72,81"
1033,Granby,Hampshire County,Massachusetts,MA,US,"42,26","-72,52"
1034,Granville,Hampden County,Massachusetts,MA,US,"42,06","-72,86"
1035,Hadley,Hampshire County,Massachusetts,MA,US,"42,35","-72,58"
1036,Hampden,Hampden County,Massachusetts,MA,US,"42,06","-72,41"
1037,Hardwick,Worcester County,Massachusetts,MA,US,"42,35","-72,2"
1038,Hatfield,Hampshire County,Massachusetts,MA,US,"42,37","-72,6"
1039,Haydenville,Hampshire County,Massachusetts,MA,US,"42,39","-72,7"
1040,Holyoke,Hampden County,Massachusetts,MA,US,"42,21","-72,64"
1041,Holyoke,Hampden County,Massachusetts,MA,US,"42,21","-72,64"
1050,Huntington,Hampshire County,Massachusetts,MA,US,"42,23","-72,88"
1053,Leeds,Hampshire County,Massachusetts,MA,US,"42,35","-72,71"
1054,Leverett,Franklin County,Massachusetts,MA,US,"42,45","-72,5"
1056,Ludlow,Hampden County,Massachusetts,MA,US,"42,16","-72,48"
1057,Monson,Hampden County,Massachusetts,MA,US,"42,09","-72,31"
1059,North Amherst,Hampshire County,Massachusetts,MA,US,"42,4","-72,52"
1060,Northampton,Hampshire County,Massachusetts,MA,US,"42,32","-72,63"
1061,Northampton,Hampshire County,Massachusetts,MA,US,"42,32","-72,67"
1062,Florence,Hampshire County,Massachusetts,MA,US,"42,32","-72,67"
1063,Northampton,Hampshire County,Massachusetts,MA,US,"42,32","-72,64"
1066,North Hatfield,Hampshire County,Massachusetts,MA,US,"42,41","-72,66"
1068,Oakham,Worcester County,Massachusetts,MA,US,"42,35","-72,05"
1069,Palmer,Hampden County,Massachusetts,MA,US,"42,16","-72,32"
1070,Plainfield,Hampshire County,Massachusetts,MA,US,"42,51","-72,91"
1071,Russell,Hampden County,Massachusetts,MA,US,"42,18","-72,85"
1072,Shutesbury,Franklin County,Massachusetts,MA,US,"42,45","-72,4"
1073,Southampton,Hampshire County,Massachusetts,MA,US,"42,23","-72,73"
1074,South Barre,Worcester County,Massachusetts,MA,US,"42,39","-72,09"
1075,South Hadley,Hampshire County,Massachusetts,MA,US,"42,26","-72,56"
1077,Southwick,Hampden County,Massachusetts,MA,US,"42,05","-72,76"
1079,Thorndike,Hampden County,Massachusetts,MA,US,"42,2","-72,33"
1080,Three Rivers,Hampden County,Massachusetts,MA,US,"42,18","-72,37"
1081,Wales,Hampden County,Massachusetts,MA,US,"42,06","-72,21"
1082,Ware,Hampshire County,Massachusetts,MA,US,"42,25","-72,24"
1083,Warren,Worcester County,Massachusetts,MA,US,"42,21","-72,19"
1084,West Chesterfield,Hampshire County,Massachusetts,MA,US,"42,39","-72,88"
1085,Westfield,Hampden County,Massachusetts,MA,US,"42,13","-72,75"
1086,Westfield,Hampden County,Massachusetts,MA,US,"42,13","-72,79"
1088,West Hatfield,Hampshire County,Massachusetts,MA,US,"42,39","-72,64"
1089,West Springfield,Hampden County,Massachusetts,MA,US,"42,12","-72,65"
1090,West Springfield,Hampden County,Massachusetts,MA,US,"42,12","-72,65"
1092,West Warren,Worcester County,Massachusetts,MA,US,"42,19","-72,24"
1093,Whately,Franklin County,Massachusetts,MA,US,"42,44","-72,65"
1094,Wheelwright,Worcester County,Massachusetts,MA,US,"42,35","-72,14"
1095,Wilbraham,Hampden County,Massachusetts,MA,US,"42,13","-72,43"
1096,Williamsburg,Hampshire County,Massachusetts,MA,US,"42,4","-72,76"
1097,Woronoco,Hampden County,Massachusetts,MA,US,"42,18","-72,83"
1098,Worthington,Hampshire County,Massachusetts,MA,US,"42,41","-72,93"
1101,Springfield,Hampden County,Massachusetts,MA,US,"42,11","-72,53"
1102,Springfield,Hampden County,Massachusetts,MA,US,"42,11","-72,53"
1103,Springfield,Hampden County,Massachusetts,MA,US,"42,1","-72,59"
1104,Springfield,Hampden County,Massachusetts,MA,US,"42,13","-72,57"
1105,Springfield,Hampden County,Massachusetts,MA,US,"42,1","-72,58"
1106,Longmeadow,Hampden County,Massachusetts,MA,US,"42,04","-72,57"
1107,Springfield,Hampden County,Massachusetts,MA,US,"42,12","-72,61"
1108,Springfield,Hampden County,Massachusetts,MA,US,"42,08","-72,56"
1109,Springfield,Hampden County,Massachusetts,MA,US,"42,11","-72,53"
1111,Springfield,Hampden County,Massachusetts,MA,US,"42,11","-72,53"
1115,Springfield,Hampden County,Massachusetts,MA,US,"42,11","-72,53"
1116,Longmeadow,Hampden County,Massachusetts,MA,US,"42,04","-72,57"
1118,Springfield,Hampden County,Massachusetts,MA,US,"42,09","-72,53"
1119,Springfield,Hampden County,Massachusetts,MA,US,"42,12","-72,51"
1128,Springfield,Hampden County,Massachusetts,MA,US,"42,09","-72,49"
1129,Springfield,Hampden County,Massachusetts,MA,US,"42,12","-72,49"
1133,Springfield,Hampden County,Massachusetts,MA,US,"42,1","-72,59"
1138,Springfield,Hampden County,Massachusetts,MA,US,"42,11","-72,53"
1139,Springfield,Hampden County,Massachusetts,MA,US,"42,11","-72,53"
1144,Springfield,Hampden County,Massachusetts,MA,US,"42,11","-72,53"
1151,Indian Orchard,Hampden County,Massachusetts,MA,US,"42,15","-72,51"
1152,Springfield,Hampden County,Massachusetts,MA,US,"42,11","-72,53"
1195,Springfield,Hampden County,Massachusetts,MA,US,"42,1","-72,58"
1199,Springfield,Hampden County,Massachusetts,MA,US,"42,12","-72,6"
1201,Pittsfield,Berkshire County,Massachusetts,MA,US,"42,45","-73,26"
1202,Pittsfield,Berkshire County,Massachusetts,MA,US,"42,45","-73,26"
1203,Pittsfield,Berkshire County,Massachusetts,MA,US,"42,45","-73,26"
1220,Adams,Berkshire County,Massachusetts,MA,US,"42,62","-73,11"
1222,Ashley Falls,Berkshire County,Massachusetts,MA,US,"42,05","-73,33"
1223,Becket,Berkshire County,Massachusetts,MA,US,"42,33","-73,07"
1224,Berkshire,Berkshire County,Massachusetts,MA,US,"42,51","-73,2"
1225,Cheshire,Berkshire County,Massachusetts,MA,US,"42,55","-73,15"
1226,Dalton,Berkshire County,Massachusetts,MA,US,"42,47","-73,16"
1227,Dalton,Berkshire County,Massachusetts,MA,US,"42,47","-73,16"
1229,Glendale,Berkshire County,Massachusetts,MA,US,"42,28","-73,34"
1230,Great Barrington,Berkshire County,Massachusetts,MA,US,"42,19","-73,35"
1235,Hinsdale,Berkshire County,Massachusetts,MA,US,"42,42","-73,07"
1236,Housatonic,Berkshire County,Massachusetts,MA,US,"42,27","-73,38"
1237,Lanesborough,Berkshire County,Massachusetts,MA,US,"42,51","-73,22"
1238,Lee,Berkshire County,Massachusetts,MA,US,"42,3","-73,25"
1240,Lenox,Berkshire County,Massachusetts,MA,US,"42,35","-73,28"
1242,Lenox Dale,Berkshire County,Massachusetts,MA,US,"42,33","-73,25"
1243,Middlefield,Hampshire County,Massachusetts,MA,US,"42,35","-73,01"
1244,Mill River,Berkshire County,Massachusetts,MA,US,"42,12","-73,26"
1245,Monterey,Berkshire County,Massachusetts,MA,US,"42,18","-73,21"
1247,North Adams,Berkshire County,Massachusetts,MA,US,"42,68","-73,11"
1252,North Egremont,Berkshire County,Massachusetts,MA,US,"42,17","-73,44"
1253,Otis,Berkshire County,Massachusetts,MA,US,"42,21","-73,11"
1254,Richmond,Berkshire County,Massachusetts,MA,US,"42,37","-73,36"
1255,Sandisfield,Berkshire County,Massachusetts,MA,US,"42,11","-73,13"
1256,Savoy,Berkshire County,Massachusetts,MA,US,"42,56","-73,02"
1257,Sheffield,Berkshire County,Massachusetts,MA,US,"42,1","-73,34"
1258,South Egremont,Berkshire County,Massachusetts,MA,US,"42,11","-73,46"
1259,Southfield,Berkshire County,Massachusetts,MA,US,"42,07","-73,23"
1260,South Lee,Berkshire County,Massachusetts,MA,US,"42,3","-73,34"
1262,Stockbridge,Berkshire County,Massachusetts,MA,US,"42,3","-73,32"
1263,Stockbridge,Berkshire County,Massachusetts,MA,US,"42,3","-73,32"
1264,Tyringham,Berkshire County,Massachusetts,MA,US,"42,24","-73,19"
1266,West Stockbridge,Berkshire County,Massachusetts,MA,US,"42,31","-73,39"
1267,Williamstown,Berkshire County,Massachusetts,MA,US,"42,7","-73,2"
1270,Windsor,Berkshire County,Massachusetts,MA,US,"42,51","-73,04"
1301,Greenfield,Franklin County,Massachusetts,MA,US,"42,58","-72,59"
1302,Greenfield,Franklin County,Massachusetts,MA,US,"42,58","-72,59"
1330,Ashfield,Franklin County,Massachusetts,MA,US,"42,53","-72,78"
1331,Athol,Worcester County,Massachusetts,MA,US,"42,59","-72,23"
1337,Bernardston,Franklin County,Massachusetts,MA,US,"42,66","-72,55"
1338,Buckland,Franklin County,Massachusetts,MA,US,"42,57","-72,82"
1339,Charlemont,Franklin County,Massachusetts,MA,US,"42,63","-72,88"
1340,Colrain,Franklin County,Massachusetts,MA,US,"42,66","-72,68"
1341,Conway,Franklin County,Massachusetts,MA,US,"42,51","-72,68"
1342,Deerfield,Franklin County,Massachusetts,MA,US,"42,55","-72,6"
1343,Drury,Berkshire County,Massachusetts,MA,US,"42,66","-72,98"
1344,Erving,Franklin County,Massachusetts,MA,US,"42,6","-72,4"
1346,Heath,Franklin County,Massachusetts,MA,US,"42,66","-72,83"
1347,Lake Pleasant,Franklin County,Massachusetts,MA,US,"42,56","-72,52"
1349,Millers Falls,Franklin County,Massachusetts,MA,US,"42,56","-72,48"
1350,Monroe Bridge,Franklin County,Massachusetts,MA,US,"42,72","-72,98"
1351,Montague,Franklin County,Massachusetts,MA,US,"42,53","-72,53"
1354,Gill,Franklin County,Massachusetts,MA,US,"42,62","-72,51"
1355,New Salem,Franklin County,Massachusetts,MA,US,"42,5","-72,33"
1360,Northfield,Franklin County,Massachusetts,MA,US,"42,7","-72,43"
1364,Orange,Franklin County,Massachusetts,MA,US,"42,59","-72,3"
1366,Petersham,Worcester County,Massachusetts,MA,US,"42,48","-72,18"
1367,Rowe,Franklin County,Massachusetts,MA,US,"42,7","-72,9"
1368,Royalston,Worcester County,Massachusetts,MA,US,"42,68","-72,18"
1370,Shelburne Falls,Franklin County,Massachusetts,MA,US,"42,6","-72,74"
1373,South Deerfield,Franklin County,Massachusetts,MA,US,"42,47","-72,59"
1375,Sunderland,Franklin County,Massachusetts,MA,US,"42,46","-72,58"
1376,Turners Falls,Franklin County,Massachusetts,MA,US,"42,59","-72,55"
1378,Warwick,Franklin County,Massachusetts,MA,US,"42,68","-72,33"
1379,Wendell,Franklin County,Massachusetts,MA,US,"42,55","-72,4"
1380,Wendell Depot,Franklin County,Massachusetts,MA,US,"42,58","-72,37"
1420,Fitchburg,Worcester County,Massachusetts,MA,US,"42,58","-71,81"
1430,Ashburnham,Worcester County,Massachusetts,MA,US,"42,63","-71,9"
1431,Ashby,Middlesex County,Massachusetts,MA,US,"42,68","-71,81"
1432,Ayer,Middlesex County,Massachusetts,MA,US,"42,56","-71,58"
